OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
246874,5,5,15,0,2019,8,17,3,3,2,2,0,1,0,0,0,0,0,0,"405902,829519827850000","5757238,719814017400000","7,630584773000066","51,957875631000036"
246875,5,5,15,0,2019,8,16,3,3,0,1,0,1,0,0,0,0,0,0,"403495,367562281900000","5759207,580088499900000","7,595006373000047","51,975159740000038"
246876,5,5,15,0,2019,8,17,3,2,6,4,0,1,0,1,0,0,0,1,"398354,984080891120000","5753625,763187388000000","7,521845430000042","51,924073718000045"
246962,5,5,15,0,2019,8,15,2,3,3,2,0,1,0,0,0,0,0,0,"406112,864000000060000","5757493,589000003400000","7,633570847000044","51,960202017000029"
246963,5,5,15,0,2019,8,22,2,3,9,7,2,1,0,1,0,0,0,0,"401218,984819910490000","5758540,942467773300000","7,562067919000072","51,968767913000079"
247182,5,5,15,0,2019,8,20,6,3,5,7,1,1,1,0,0,0,0,0,"405210,361912852150000","5757221,633220521700000","7,620515011000066","51,957604437000043"
247183,5,5,15,0,2019,8,9,6,3,5,2,0,1,1,0,0,0,0,0,"405164,439089749940000","5756901,175906611600000","7,619935355000052","51,954716203000032"
247225,5,5,15,0,2019,8,7,2,3,5,2,0,1,1,0,0,0,0,0,"409076,370806810450000","5752864,299980823000000","7,677912910000032","51,919083473000057"
247362,5,5,15,0,2019,8,16,4,3,3,6,0,1,0,0,0,0,1,0,"401555,745720622130000","5758914,799599710900000","7,566861198000026","51,972187957000074"
247364,5,5,15,0,2019,8,0,4,3,5,7,2,1,1,0,0,0,0,1,"405572,788563166750000","5755964,362370241400000","7,626133271000072","51,946365192000030"
247365,5,5,15,0,2019,8,16,4,3,1,5,0,1,1,0,0,0,0,0,"407157,448180687610000","5758049,197175862300000","7,648618884000030","51,965371517000051"
247441,5,5,15,0,2019,8,12,3,3,5,2,0,1,1,0,0,0,0,0,"405208,894000000320000","5757219,747000003200000","7,620494175000033","51,957587232000037"
247633,5,5,15,0,2019,8,18,7,3,6,4,0,1,1,1,0,0,0,0,"406605,544505884870000","5757160,925128061300000","7,640829554000050","51,957294847000071"
247634,5,5,15,0,2019,8,5,7,3,4,2,1,1,0,0,0,0,0,0,"404331,837999999520000","5756212,126000003900000","7,608014853000043","51,948380154000063"
247725,5,5,15,0,2019,9,10,2,3,5,6,0,1,0,0,0,0,0,0,"406331,782999999820000","5757755,482000000800000","7,636684587000048","51,962592958000073"
247738,5,5,15,0,2019,9,15,2,3,5,3,0,1,1,0,0,0,0,0,"404773,779545411470000","5759766,102466477100000","7,613457616000062","51,980400479000082"
247803,5,5,15,0,2019,9,7,5,2,3,2,0,1,0,0,0,0,0,0,"404929,067377641800000","5758084,687903273900000","7,616183694000029","51,965313889000072"
247874,5,5,15,0,2019,9,9,4,2,5,3,0,1,1,0,0,0,0,0,"403731,569873829370000","5761797,676032837500000","7,597717051000075","51,998481229000049"
248169,5,5,15,0,2019,9,0,7,3,0,1,2,1,0,0,0,0,0,0,"405702,332999999630000","5757900,534000000000000","7,627486117000046","51,963790341000049"
248248,5,5,15,0,2019,9,14,6,3,0,5,0,1,0,0,0,1,0,0,"405954,697183314710000","5757762,931975700000000","7,631195855000044","51,962596262000034"
248249,5,5,15,0,2019,9,10,6,2,3,6,0,1,1,0,0,0,0,0,"402146,711947721430000","5758466,863399466500000","7,575589207000064","51,968266172000028"
248327,5,5,15,0,2019,9,15,5,3,6,4,0,1,0,1,0,0,0,0,"405466,695968887770000","5757550,089476482900000","7,624153917000058","51,960600379000027"
248423,5,5,15,0,2019,9,19,4,3,0,5,1,1,0,0,0,0,1,1,"407647,214484248310000","5755381,514449913100000","7,656462579000049","51,941474487000050"
248425,5,5,15,0,2019,9,15,4,3,2,2,0,1,0,0,0,0,1,0,"405620,842922703360000","5757058,862431617500000","7,626531646000046","51,956211204000056"
248482,5,5,15,0,2019,9,12,6,3,2,6,0,1,1,0,0,0,0,0,"404865,010046359150000","5754412,476958392200000","7,616267992000076","51,932295590000081"
248510,5,5,15,0,2019,9,15,3,3,5,2,0,1,1,0,0,0,0,0,"407071,815041758120000","5758349,409738559300000","7,647291565000046","51,968055669000080"
248528,5,5,15,0,2019,9,7,3,3,5,3,0,1,1,0,0,0,0,0,"406409,190364121460000","5756529,895987397100000","7,638144760000046","51,951589837000029"
248529,5,5,15,0,2019,9,13,3,3,8,7,0,1,0,0,0,0,0,1,"410634,435000001450000","5760696,883000001300000","7,698524662000068","51,989740532000042"
248530,5,5,15,0,2019,9,15,3,3,4,7,0,1,0,0,0,0,0,0,"405904,056153533980000","5760101,440464038400000","7,629817924000065","51,983607208000080"
248781,5,5,15,0,2019,9,15,6,3,0,3,0,1,1,0,0,0,0,0,"401302,271857823250000","5758734,863962164100000","7,563224146000039","51,970525709000071"
248782,5,5,15,0,2019,9,7,6,3,3,6,0,1,0,0,0,0,1,0,"405253,900564612820000","5757277,914958359700000","7,621132913000054","51,958117741000081"
248884,5,5,15,0,2019,9,19,5,3,2,6,0,1,1,0,0,0,0,0,"405620,803639200520000","5757058,201713722200000","7,626531256000021","51,956205258000068"
249042,5,5,15,0,2019,9,12,3,3,5,7,0,1,1,0,0,0,0,0,"404543,218788222410000","5759313,303615106300000","7,610227566000049","51,976291003000028"
