OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
108527;;5;5;15;0;2019;5;16;1;2;5;3;0;1;1;0;0;0;0;405763,8007;5756906,096;7,628653318;51,95486231;0
108728;;5;5;15;0;2019;5;9;6;3;5;2;0;1;1;0;0;0;0;403051,8839;5758146,528;7,588851537;51,96554552;0
108842;;5;5;15;0;2019;5;22;5;2;5;2;2;1;1;0;0;0;0;406938,2339;5756952,467;7,645726187;51,9554769;0
108843;;5;5;15;0;2019;5;14;5;3;4;7;0;1;1;0;0;0;0;406238,109;5757692,812;7,635338714;51,96201386;0
108845;;5;5;15;0;2019;5;7;5;3;0;3;0;1;0;0;0;0;0;406307,0804;5758866,55;7,636021965;51,97257559;0
109031;;5;5;15;0;2019;5;21;4;3;5;2;1;1;1;0;0;0;0;403066,687;5760216,967;7,588482162;51,98415776;0
109033;;5;5;15;0;2019;5;17;4;3;5;3;0;1;1;0;0;0;0;406305,053;5756676,91;7,636589821;51,95289374;0
109034;;5;5;15;0;2019;5;11;4;3;5;2;0;1;1;0;0;0;0;405020,794;5758077,995;7,617520263;51,96526941;0
109036;;5;5;15;0;2019;5;7;4;3;5;3;0;1;1;0;0;0;0;400571,2269;5756721,005;7,553168714;51,95229455;0
109038;;5;5;15;0;2019;5;1;4;2;0;1;2;1;0;0;0;0;0;405503,7456;5758104,57;7,624540407;51,96559058;0
109069;;5;5;15;0;2019;5;15;3;3;3;2;0;1;0;0;0;0;0;405373,7355;5755801,829;7,623282793;51,94487045;1
109251;;5;5;15;0;2019;5;18;4;3;5;2;0;1;1;0;0;0;0;404412,29;5755367,06;7,609420022;51,9407982;0
109256;;5;5;15;0;2019;5;5;2;3;5;3;1;1;1;0;0;0;0;404114,5156;5748879,793;7,606895285;51,88243661;1
109258;;5;5;15;0;2019;5;21;2;3;5;3;1;1;1;0;0;0;0;404790,3213;5761206,219;7,613298602;51,99334758;0
109578;;5;5;15;0;2019;6;20;2;3;5;2;0;1;1;0;0;0;0;402945,782;5757810,739;7,587402555;51,96250884;0
109579;;5;5;15;0;2019;6;15;2;3;5;2;0;1;1;0;0;0;0;405724,1313;5753792,24;7,628929899;51,92686679;0
109581;;5;5;15;0;2019;6;14;2;2;5;3;0;1;0;0;0;0;0;404257,6434;5758974,987;7,60616553;51,97320097;0
109584;;5;5;15;0;2019;6;15;2;3;0;7;0;1;0;0;0;0;0;406359,5333;5756997,589;7,637294961;51,95578533;0
109782;;5;5;15;0;2019;5;17;6;3;5;3;0;1;1;0;0;0;0;404802,96;5761701,44;7,613345092;51,99780095;0
109783;;5;5;15;0;2019;5;16;6;3;5;6;0;1;0;0;0;0;0;405542,9779;5756661,056;7,625508211;51,95262233;0
109788;;5;5;15;0;2019;5;19;6;3;3;1;0;1;0;0;0;0;0;406332,5152;5756679,732;7,636988548;51,95292373;0
109891;;5;5;15;0;2019;6;11;1;3;4;3;0;1;1;0;0;0;0;406148,8166;5750922,275;7,635886325;51,90114176;0
109893;;5;5;15;0;2019;6;21;1;3;0;6;2;1;0;1;0;0;0;406809,3609;5755961,418;7,644120072;51,94654726;0
110025;;5;5;15;0;2019;6;10;4;3;0;7;0;1;0;0;0;0;0;405520,5162;5756550,035;7,625211984;51,95162061;0
110028;;5;5;15;0;2019;6;13;4;3;0;3;0;1;0;0;0;0;0;405956,7868;5757879,918;7,631194225;51,96364814;0
110127;;5;5;15;0;2019;6;17;6;3;5;3;0;1;1;0;0;0;0;403935,7264;5757905,986;7,60177962;51,96353689;0
110129;;5;5;15;0;2019;6;12;6;3;4;6;0;1;0;0;0;0;0;405506,25;5751877,202;7,626287737;51,90961653;0
110273;;5;5;15;0;2019;6;8;3;2;0;1;0;1;0;0;0;0;0;405556,5866;5754436,034;7,626317325;51,93262512;0
110275;;5;5;15;0;2019;6;19;3;3;0;7;0;1;0;0;0;0;0;406051,9101;5756765,528;7,632883093;51,95364757;0
110385;;5;5;15;0;2019;6;15;5;3;6;4;0;1;0;1;0;0;0;405062,596;5757465,467;7,618297844;51,9597709;0
110387;;5;5;15;0;2019;6;17;5;3;6;4;0;1;0;1;0;0;0;406273,2005;5757401,117;7,635928893;51,95939789;0
110389;;5;5;15;0;2019;6;8;5;2;5;3;0;1;0;0;1;0;0;402817,8636;5753940,569;7,586635351;51,92770023;0
110392;;5;5;15;0;2019;6;2;5;3;7;1;2;1;0;0;0;0;0;405370,0356;5755663,784;7,623266975;51,943629;1
110537;;5;5;15;0;2019;6;9;3;3;5;3;0;1;1;0;0;0;0;405108,5786;5756668,559;7,619186955;51,95261582;0
110538;;5;5;15;0;2019;6;15;3;3;5;3;0;1;1;0;0;0;0;410594,023;5753371,461;7,699842632;51,92388798;0
110709;;5;5;15;0;2019;6;16;1;3;3;6;0;1;0;0;0;0;0;407101,7982;5760330,783;7,647191491;51,98587023;0
110791;;5;5;15;0;2019;6;11;3;2;9;7;0;1;0;0;0;0;0;406151,6663;5751386,704;7,635801261;51,90531679;0
110827;;5;5;15;0;2019;6;17;5;3;3;3;0;1;1;0;0;0;0;407701,16;5758539,449;7,656398797;51,9698687;0
110982;;5;5;15;0;2019;6;16;4;3;5;3;0;1;1;0;0;0;0;404523,468;5759082,056;7,610004435;51,97420908;1
110983;;5;5;15;0;2019;6;10;4;3;6;4;0;1;0;1;0;0;0;404755,0068;5758425,201;7,61355648;51,96834475;0
111142;;5;5;15;0;2019;6;3;1;3;0;1;2;1;0;0;0;0;0;407039,007;5757866,227;7,646944949;51,9637071;0
111333;;5;5;15;0;2019;6;5;6;3;5;2;1;1;1;0;0;0;0;402427,53;5753739,036;7,581017563;51,92582051;0
111441;;5;5;15;0;2019;6;11;3;2;5;2;0;1;1;0;0;0;0;398637,6431;5758007,09;7,524662817;51,9635049;0
111443;;5;5;15;0;2019;6;7;3;3;5;2;0;1;1;0;0;0;0;406940,4367;5756956,725;7,645757079;51,95551554;0
111761;;5;5;15;0;2019;6;13;6;3;5;2;0;1;1;0;0;0;0;406837,9237;5756781,873;7,644313126;51,95392672;0
111763;;5;5;15;0;2019;6;14;6;3;5;3;0;1;1;0;0;0;0;408463,5319;5756498,398;7,668037384;51,95164862;0
111764;;5;5;15;0;2019;6;13;6;3;0;5;0;1;1;0;0;0;0;405963,1567;5751750,338;7,632962644;51,90855354;0
111868;;5;5;15;0;2019;6;2;5;3;5;2;2;1;1;0;0;0;0;406305,4992;5756678,155;7,636595972;51,952905;0
111869;;5;5;15;0;2019;6;13;5;3;4;6;0;1;0;0;0;0;0;400852,8554;5756459,703;7,557340789;51,94999619;0
112016;;5;5;15;0;2019;6;8;4;3;0;1;0;1;0;0;0;0;0;412291,1463;5753461,981;7,724492759;51,92497161;0
112276;;5;5;15;0;2019;6;17;4;3;1;7;0;1;0;0;0;0;0;405580,0627;5756827,423;7,626001969;51,954124;0
112278;;5;5;15;0;2019;6;12;4;3;3;6;0;1;0;0;0;0;0;400947,473;5753703,382;7,559510862;51,92523867;0
112555;;5;5;15;0;2019;6;11;6;3;5;2;0;1;1;0;0;0;0;405141,136;5757021,192;7,619563216;51,95579098;0
112798;;5;5;15;0;2019;6;13;7;3;3;6;0;1;1;0;0;0;0;405968,2414;5756447,012;7,63175309;51,95077046;0
112800;;5;5;15;0;2019;6;12;7;2;0;4;0;1;0;1;0;0;0;405888,3849;5757927,36;7,630185937;51,96406299;0
112813;;5;5;15;0;2019;6;17;5;3;0;7;0;1;0;0;0;0;1;397588,896;5756743,021;7,509780592;51,95195127;1
112814;;5;5;15;0;2019;6;13;5;3;4;6;0;1;0;0;0;0;0;408587,1768;5753611,522;7,670603361;51,9257199;0
112816;;5;5;15;0;2019;6;8;5;3;0;1;0;1;0;0;0;0;0;405791,5583;5756889,961;7,629061553;51,95472199;0
113107;;5;5;15;0;2019;7;7;4;3;0;6;0;1;0;0;0;0;0;406296,478;5758870,5;7,635866584;51,9726093;0
113111;;5;5;15;0;2019;7;9;4;3;0;7;0;1;1;0;0;0;0;407270,3126;5756887,716;7,650574759;51,95495035;0
113143;;5;5;15;0;2019;7;11;2;2;5;3;0;1;1;0;0;0;0;404117,2168;5758144,071;7,604353898;51,96570821;0
113145;;5;5;15;0;2019;7;19;2;3;5;2;0;1;1;0;0;0;0;408401,8559;5753924,843;7,667825673;51,92850576;0
113147;;5;5;15;0;2019;7;10;2;3;0;1;0;1;0;0;0;0;0;405756,9555;5753658,359;7,62944378;51,92566896;0
